Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,73404
design__instance__area,5.01985E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,1279
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,5879
design__max_cap_violation__count__corner:nom_tt_025C_1v80,151
power__internal__total,0.049616917967796326
power__switching__total,0.02267017588019371
power__leakage__total,0.00000212478971661767
power__total,0.07228922098875046
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.7016434298831413
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.8294156707318224
timing__hold__ws__corner:nom_tt_025C_1v80,-1.575831953973705
timing__setup__ws__corner:nom_tt_025C_1v80,7.189607335199322
timing__hold__tns__corner:nom_tt_025C_1v80,-1071.4683488174292
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,-1.575831953973705
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,1524
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.459957
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.378838
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,4785
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,5879
design__max_cap_violation__count__corner:nom_ss_100C_1v60,581
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-3.1339149939953588
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.2351648942140614
timing__hold__ws__corner:nom_ss_100C_1v60,-2.108651091199384
timing__setup__ws__corner:nom_ss_100C_1v60,-2.8805687539489244
timing__hold__tns__corner:nom_ss_100C_1v60,-869.6207164957718
timing__setup__tns__corner:nom_ss_100C_1v60,-1789.4452008887558
timing__hold__wns__corner:nom_ss_100C_1v60,-2.108651091199384
timing__setup__wns__corner:nom_ss_100C_1v60,-2.8805687539489244
timing__hold_vio__count__corner:nom_ss_100C_1v60,1312
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.154836
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1447
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-2.880569
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1447
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,269
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,5879
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,25
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.5060429996050937
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.6448961547313432
timing__hold__ws__corner:nom_ff_n40C_1v95,-1.20016844304206
timing__setup__ws__corner:nom_ff_n40C_1v95,8.470584473597174
timing__hold__tns__corner:nom_ff_n40C_1v95,-905.0039267479268
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,-1.20016844304206
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,1527
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.204581
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,19.625141
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,657
design__max_fanout_violation__count__corner:min_tt_025C_1v80,5879
design__max_cap_violation__count__corner:min_tt_025C_1v80,81
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.6328264758000794
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.760685758136353
timing__hold__ws__corner:min_tt_025C_1v80,-1.3483712306123135
timing__setup__ws__corner:min_tt_025C_1v80,7.500517752522177
timing__hold__tns__corner:min_tt_025C_1v80,-844.5457763284679
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,-1.3483712306123135
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,1508
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.440529
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,16.486383
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,3615
design__max_fanout_violation__count__corner:min_ss_100C_1v60,5879
design__max_cap_violation__count__corner:min_ss_100C_1v60,456
clock__skew__worst_hold__corner:min_ss_100C_1v60,-3.0122412083934194
clock__skew__worst_setup__corner:min_ss_100C_1v60,1.1177796782329334
timing__hold__ws__corner:min_ss_100C_1v60,-1.761495887900334
timing__setup__ws__corner:min_ss_100C_1v60,-1.3139569804108913
timing__hold__tns__corner:min_ss_100C_1v60,-551.812733792159
timing__setup__tns__corner:min_ss_100C_1v60,-216.4169704699541
timing__hold__wns__corner:min_ss_100C_1v60,-1.761495887900334
timing__setup__wns__corner:min_ss_100C_1v60,-1.3139569804108913
timing__hold_vio__count__corner:min_ss_100C_1v60,1138
timing__hold_r2r__ws__corner:min_ss_100C_1v60,1.120692
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,414
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-1.313957
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,414
design__max_slew_violation__count__corner:min_ff_n40C_1v95,68
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,5879
design__max_cap_violation__count__corner:min_ff_n40C_1v95,7
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-2.4579827757774644
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.5953260275475206
timing__hold__ws__corner:min_ff_n40C_1v95,-1.0506795730837077
timing__setup__ws__corner:min_ff_n40C_1v95,8.760169726459912
timing__hold__tns__corner:min_ff_n40C_1v95,-754.7444838289906
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,-1.0506795730837077
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,1523
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.192525
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,19.710442
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
